event,league_season_id,location,event_id,cup_name,cup_id,custom_cup_ids,url,registration_url,infosheet_url,additional_info_url,starts_at,ends_at,local_start_date,local_end_date,timezone,disciplines
European Youth Cup (B) - L'Argentière (FRA) 2012,298,Argentiere,759,European Youth Cup 2012,49.0,[],/api/v1/events/759,/api/v1/events/759/registrations,,,2012-07-25 00:00:00 UTC,2012-07-26 00:00:00 UTC,2012-07-25,2012-07-26,,"[{'id': 875, 'kind': 'boulder', 'event_id': 759, 'created_at': '2020-01-31T09:59:28.000Z', 'updated_at': '2020-01-31T09:59:28.000Z', 'settings': None}]"
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,292,Daone,734,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/734,/api/v1/events/734/registrations,,,2012-07-28 00:00:00 UTC,2012-07-29 00:00:00 UTC,2012-07-28,2012-07-29,,"[{'id': 841, 'kind': 'speed', 'event_id': 734, 'created_at': '2020-01-31T09:55:29.000Z', 'updated_at': '2020-02-14T16:05:02.000Z', 'settings': None}]"
European Youth Cup (L) - Imst (AUT) 2012,298,Imst,760,European Youth Cup 2012,49.0,[],/api/v1/events/760,/api/v1/events/760/registrations,,,2012-08-04 00:00:00 UTC,2012-08-05 00:00:00 UTC,2012-08-04,2012-08-05,,"[{'id': 876, 'kind': 'lead', 'event_id': 760, 'created_at': '2020-01-31T09:59:40.000Z', 'updated_at': '2020-01-31T09:59:40.000Z', 'settings': None}]"
IFSC Climbing Worldcup (L) - Imst (AUT) 2012,292,Imst,735,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/735,/api/v1/events/735/registrations,,,2012-08-10 00:00:00 UTC,2012-08-11 00:00:00 UTC,2012-08-10,2012-08-11,,"[{'id': 842, 'kind': 'lead', 'event_id': 735, 'created_at': '2020-01-31T09:55:31.000Z', 'updated_at': '2020-02-14T16:01:13.000Z', 'settings': None}]"
Promotional Event - Adidas Rockstars (B) - Stuttgart (GER) 2012,303,Adidas_Promo_12,780,,,[],/api/v1/events/780,/api/v1/events/780/registrations,,,2012-08-10 00:00:00 UTC,2012-08-11 00:00:00 UTC,2012-08-10,2012-08-11,,[]
European Youth Cup (S) - Pieve (ITA) 2012,298,Pieve,761,European Youth Cup 2012,49.0,[],/api/v1/events/761,/api/v1/events/761/registrations,,,2012-08-11 00:00:00 UTC,2012-08-11 00:00:00 UTC,2012-08-11,2012-08-11,,"[{'id': 877, 'kind': 'speed', 'event_id': 761, 'created_at': '2020-01-31T10:00:00.000Z', 'updated_at': '2020-01-31T10:00:00.000Z', 'settings': None}]"
IFSC Climbing Worldcup (B) - Munich (GER) 2012,292,Munich,736,IFSC Climbing Worldcup 2012,48.0,[],/api/v1/events/736,/api/v1/events/736/registrations,,,2012-08-25 00:00:00 UTC,2012-08-26 00:00:00 UTC,2012-08-25,2012-08-26,,"[{'id': 843, 'kind': 'boulder', 'event_id': 736, 'created_at': '2020-01-31T09:55:37.000Z', 'updated_at': '2020-02-14T16:08:46.000Z', 'settings': None}]"
Intl. Event - Rock Junior - Arco (ITA) 2012	,303,Arco_RJ_2012,781,,,[],/api/v1/events/781,/api/v1/events/781/registrations,,,2012-08-25 00:00:00 UTC,2012-08-26 00:00:00 UTC,2012-08-25,2012-08-26,,[]
Paraclimbing Cup Arco 2012 - Arco (ITA) 2012,294,Arco_Paraclimbing_12,748,,,[],/api/v1/events/748,/api/v1/events/748/registrations,,,2012-08-27 00:00:00 UTC,2012-08-28 00:00:00 UTC,2012-08-27,2012-08-28,,[]
IFSC World Youth Championship - Singapore (SIN) - 2012,293,YWCH Singapore,747,,,[],/api/v1/events/747,/api/v1/events/747/registrations,,,2012-08-29 00:00:00 UTC,2012-09-01 00:00:00 UTC,2012-08-29,2012-09-01,,"[{'id': 858, 'kind': 'speed', 'event_id': 747, 'created_at': '2020-01-31T09:56:53.000Z', 'updated_at': '2020-01-31T09:56:53.000Z', 'settings': None}, {'id': 859, 'kind': 'lead', 'event_id': 747, 'created_at': '2020-01-31T09:56:58.000Z', 'updated_at': '2020-01-31T09:56:58.000Z', 'settings': None}]"
