,firstname,lastname,current,sigma,mu
4538,Iwona,GRONKIEWICZ-MARCISZ,"N(mu=1.442, sigma=0.206)",0.20600268860189638,1.441902118840865
561,Camille,POUGET,"N(mu=1.426, sigma=0.281)",0.28100012845647604,1.4263077386519396
6530,Felicity,BUTLER,"N(mu=1.403, sigma=0.211)",0.21050526910436054,1.4030614092163385
1751,Claire,BUHRFEIND,"N(mu=1.402, sigma=0.347)",0.34700025605968887,1.4022550782971173
4917,Florence,PINET,"N(mu=1.393, sigma=0.218)",0.218140521665574,1.3934783653670562
4914,Mariya,NIKOLAEVA,"N(mu=1.384, sigma=1.009)",1.0090094497025441,1.383720421140787
5125,Lucka,FRANKO,"N(mu=1.381, sigma=0.191)",0.19071170648455202,1.3814989402651472
2267,Risa,OTA,"N(mu=1.373, sigma=0.187)",0.18694497694682136,1.373393924167818
11546,Sara,COPAR,"N(mu=1.359, sigma=0.302)",0.3017023937290962,1.3585427516343231
2287,Aika,TAJIMA,"N(mu=1.358, sigma=0.403)",0.40274646148791915,1.357841395442982
4723,Damaris,KNORR,"N(mu=1.353, sigma=0.196)",0.19590617516588138,1.3530037583326915
6553,Shelly,PRESSON,"N(mu=1.352, sigma=0.283)",0.283163206352727,1.3517558447722855
13021,Anastasia,SANDERS,"N(mu=1.343, sigma=0.511)",0.5106624966537058,1.3426191384635902
5865,Margaux,HILLY,"N(mu=1.338, sigma=0.260)",0.2598997556045643,1.3382188436837257
6614,Flura,JIRNOVA,"N(mu=1.334, sigma=0.727)",0.7268970178031943,1.3337686027947053
2357,Futaba,ITO,"N(mu=1.322, sigma=0.229)",0.22913018600814314,1.3219529569311308
11464,Aleksandra,TOTKOVA,"N(mu=1.320, sigma=0.274)",0.2735988300394795,1.3201571918097164
1209,Katharina,SAURWEIN,"N(mu=1.311, sigma=0.190)",0.18958437736542977,1.311358655917049
2268,Aya,ONOE,"N(mu=1.292, sigma=0.231)",0.2313904386012541,1.2924450032692612
44,Olga,IAKOVLEVA,"N(mu=1.288, sigma=0.372)",0.3722813274601306,1.2878154766392358
147,Viktoriia,MESHKOVA,"N(mu=1.286, sigma=0.307)",0.30729876465520906,1.2855130320433346
1211,Anna,STÖHR,"N(mu=1.278, sigma=0.395)",0.3952288180570851,1.2781289876158526
4916,Mathilde,BRUMAGNE,"N(mu=1.271, sigma=0.210)",0.21010731407892383,1.271254623445489
6896,Yasue,KATO,"N(mu=1.247, sigma=0.594)",0.5937671965656449,1.2467697475644157
4549,Luisa,IOVANE,"N(mu=1.236, sigma=0.182)",0.18178283483113908,1.2363923497135303
4536,Josune,BERECIARTU URRUZOLA,"N(mu=1.233, sigma=0.235)",0.2348907666018838,1.2328199049165771
309,Chloé,GRAFTIAUX,"N(mu=1.230, sigma=0.245)",0.24489265658408674,1.229511902508397
6666,Ursula,HELFERT,"N(mu=1.223, sigma=0.513)",0.5126616732703976,1.2228369525497675
6724,Galina,EREMINA,"N(mu=1.221, sigma=1.009)",1.0085741517577111,1.220652057080106
55,Ekaterina,KIPRIIANOVA,"N(mu=1.188, sigma=0.457)",0.4565674984893249,1.188478892142075
49,Evgeniia,MALAMID,"N(mu=1.186, sigma=0.181)",0.1811938420338807,1.1857556782806897
4719,Mi-Sun,GO,"N(mu=1.162, sigma=0.199)",0.1989857417737592,1.1624263578279508
6581,Monica,MALGAROTTO,"N(mu=1.159, sigma=0.724)",0.7244634212921247,1.1588900834338909
4453,Delphine,MARTIN,"N(mu=1.150, sigma=0.219)",0.21867028712728145,1.149569267197915
3113,Hannah,MEUL,"N(mu=1.147, sigma=0.275)",0.27535402171466256,1.1466372542717493
1133,Rebeka,KAMIN,"N(mu=1.134, sigma=0.329)",0.3288305828933917,1.1342364679136074
6543,Ineke,DIJKSTRA,"N(mu=1.125, sigma=0.370)",0.36977420224068547,1.1246936110429862
4920,Kinga,OCIEPKA,"N(mu=1.118, sigma=0.260)",0.260279378782018,1.1181285796092366
41,Olga,BIBIK,"N(mu=1.101, sigma=0.221)",0.22062649275457052,1.1007682656807143
6978,Iva,HARTMANN,"N(mu=1.099, sigma=0.315)",0.31478926136201957,1.0991409955037728
11462,Oriane,BERTONE,"N(mu=1.090, sigma=0.365)",0.36544732890288445,1.0901998792704273
1765,Melina,COSTANZA,"N(mu=1.089, sigma=0.589)",0.5888378566595526,1.089295628463419
6529,Gunda,FRÜHWALD,"N(mu=1.087, sigma=0.316)",0.315620046017421,1.0870524487469362
12845,Momoko,ABE,"N(mu=1.083, sigma=0.330)",0.32966665364640924,1.0830428739951865
469,Fanny,GIBERT,"N(mu=1.077, sigma=0.267)",0.267037746079244,1.0770544953517136
4542,Olena,KRYVONIS,"N(mu=1.074, sigma=0.213)",0.2125028654801859,1.0735741274991395
1400,Eliska,ADAMOVSKA,"N(mu=1.073, sigma=0.227)",0.2274267101257436,1.073012164477046
13329,Rosa,REKAR,"N(mu=1.073, sigma=1.011)",1.0111153374259592,1.072613465143797
6136,Laura,MICHELARD,"N(mu=1.047, sigma=0.424)",0.4236778984161663,1.0465003056079953
4638,Nicola,HAAGER,"N(mu=1.040, sigma=0.462)",0.4619088061420465,1.0401884836375854
514,Nina,ARTHAUD,"N(mu=1.017, sigma=0.329)",0.32903218722505506,1.017469749038653
620,Zélia,AVEZOU,"N(mu=1.017, sigma=0.459)",0.45870420084950503,1.0171625335604595
3247,Rebekka,STOTZ,"N(mu=1.016, sigma=0.220)",0.21963085309021332,1.0157347034747
2043,Seuran,HAN,"N(mu=0.997, sigma=0.200)",0.1996133865463512,0.9967590526353871
1155,Lana,SKUSEK,"N(mu=0.992, sigma=0.232)",0.23206059856383995,0.9916176516954213
5044,Mélanie,SON,"N(mu=0.987, sigma=1.027)",1.026622438258003,0.986721931141702
1486,Ievgeniia,KAZBEKOVA,"N(mu=0.984, sigma=0.191)",0.1908324252451195,0.984141228436616
1202,Barbara,BACHER,"N(mu=0.965, sigma=0.176)",0.17585154642799472,0.9653648133098683
848,Jenny,LAVARDA,"N(mu=0.965, sigma=0.175)",0.17547240355861993,0.9652512812820581
1724,Delaney,MILLER,"N(mu=0.955, sigma=0.227)",0.22672706234496895,0.9549176103278164
6531,Isabelle,LAFFONT,"N(mu=0.955, sigma=0.267)",0.26746730549696773,0.9546997704691746
6807,Naomi,GUY,"N(mu=0.943, sigma=0.332)",0.3316019110026986,0.9433598864227489
454,Melissa,LE NEVE,"N(mu=0.943, sigma=0.425)",0.4254703363819003,0.9430343248150326
6688,Magali,BONHOURE,"N(mu=0.920, sigma=0.422)",0.421672616453513,0.9204011818770758
6615,Irmgard,BRAUN,"N(mu=0.912, sigma=1.014)",1.0137037508835094,0.9116820106496675
4531,Natalia,NOVIKOVA,"N(mu=0.911, sigma=0.304)",0.30354919939615466,0.9110846524506769
6726,Alison,OSIUS,"N(mu=0.906, sigma=0.461)",0.4607302577314561,0.9063217444421214
1120,Katja,VIDMAR,"N(mu=0.904, sigma=0.232)",0.23174439017037365,0.9042048082369286
6579,Natalia,KOSMACHEVA,"N(mu=0.896, sigma=0.599)",0.5990919757187143,0.89603112595826
6528,Corinne,LABRUNE,"N(mu=0.887, sigma=0.351)",0.35069394802632187,0.887470859252895
6537,Jola,SANDFORD,"N(mu=0.884, sigma=1.017)",1.0170487550866516,0.8840524321123657
6532,Pascale,NOEL,"N(mu=0.882, sigma=0.397)",0.3968116121840373,0.882228860016153
1266,Mattea,PÖTZI,"N(mu=0.873, sigma=0.273)",0.27286867154962313,0.8726278235825095
6965,Irina,ZAYTSEVA,"N(mu=0.858, sigma=1.017)",1.0171433503219505,0.8578958753991616
3426,Anne-Sophie,KOLLER,"N(mu=0.856, sigma=0.189)",0.18944452570813017,0.8563513082007224
6722,Nataliy,PASHENNIK,"N(mu=0.845, sigma=0.372)",0.37237591281307475,0.8450502256363784
947,Camilla,MORONI,"N(mu=0.835, sigma=0.364)",0.3641508648900176,0.8345653387053966
6667,Elena,KOLIADA,"N(mu=0.833, sigma=1.016)",1.0159550573119298,0.8327247681349299
4913,Julia,SERRIÈRE,"N(mu=0.825, sigma=0.284)",0.2841289612731082,0.8252281216199787
5197,Stella,MARCHISIO,"N(mu=0.821, sigma=0.368)",0.3677879219307173,0.821468949327746
11784,Hana,KOIKE,"N(mu=0.817, sigma=0.346)",0.3455884586370699,0.8170824124420495
