,firstname,lastname,current,sigma,mu
4462,Pedro,PONS,"N(mu=1.854, sigma=0.271)",0.2711543994149353,1.8544926443418364
4783,Akito,MATSUSHIMA,"N(mu=1.843, sigma=0.198)",0.19803868432655886,1.8432936286174624
6754,Christian,SCHLESENER,"N(mu=1.833, sigma=0.586)",0.5857950944050172,1.833317675878338
14018,Yunchan,SONG,"N(mu=1.829, sigma=0.421)",0.42116159194994035,1.8289095366881376
1749,Jesse,GRUPPER,"N(mu=1.827, sigma=0.251)",0.2506988283339623,1.8271088180058828
6902,Serguei,CHEMOULINKINE,"N(mu=1.825, sigma=0.264)",0.2637592033463187,1.8250935779086412
811,Alberto,GINÉS LÓPEZ,"N(mu=1.810, sigma=0.244)",0.24449755098057396,1.8098940451914463
4576,Yevgen,KRYVOSHEYTSEV,"N(mu=1.807, sigma=0.186)",0.18620367096408322,1.8070253825742644
4580,David,CAUDE,"N(mu=1.797, sigma=0.180)",0.1795270095780488,1.7972479460404096
416,Jean-Minh,TRINH-THIEU,"N(mu=1.793, sigma=0.586)",0.5862126274128778,1.7930590144977931
4666,Stefano,GHIDINI,"N(mu=1.774, sigma=0.717)",0.7170076785739209,1.7735858692826327
4467,Daniel,ANDRADA JIMENEZ,"N(mu=1.760, sigma=0.232)",0.23154930726179804,1.7598984800037025
4690,Fabien,DUGIT,"N(mu=1.748, sigma=0.186)",0.18634625985539852,1.747993134457695
6982,Frédéric,VIONNET,"N(mu=1.747, sigma=1.003)",1.0028800228470875,1.7466565021536764
2301,Yuki,HADA,"N(mu=1.745, sigma=0.222)",0.22215699860807936,1.744875248900744
11675,Mejdi,SCHALCK,"N(mu=1.736, sigma=0.346)",0.34645638952006946,1.7360314644864114
2032,Sangwon,SON,"N(mu=1.729, sigma=0.192)",0.19244560339124156,1.7294840581377693
7049,Kevin,BRANFORD,"N(mu=1.725, sigma=1.005)",1.0049387202731268,1.7246753306976808
4716,Klemen,BECAN,"N(mu=1.719, sigma=0.178)",0.17764136907104935,1.7192033761112078
2272,Kokoro,FUJII,"N(mu=1.717, sigma=0.213)",0.21304771020666308,1.7169892783985106
2336,Shuta,TANAKA,"N(mu=1.713, sigma=0.347)",0.34666614437538246,1.712620392089673
2255,Tsukuru,HORI,"N(mu=1.709, sigma=0.603)",0.6032103194342596,1.7086388725318737
2261,Masahiro,HIGUCHI,"N(mu=1.690, sigma=0.184)",0.18377459137406998,1.689893084783404
1127,Urban,PRIMOZIC,"N(mu=1.685, sigma=0.190)",0.19038668462179256,1.6852591834278527
6569,Vladimir,JOURKIN,"N(mu=1.680, sigma=0.343)",0.3434201314391495,1.6798871839070249
6710,Andreas,HOFMANN,"N(mu=1.679, sigma=1.005)",1.0048220377081327,1.6792387881943918
6479,Yoshihiko,TERASHIMA,"N(mu=1.676, sigma=0.510)",0.5102502108819383,1.6757185480776746
4933,Alexander,KALINA,"N(mu=1.643, sigma=0.393)",0.3929766076024661,1.642631307943184
