,firstname,lastname,current,sigma,mu
6162,Aysel,SULTANOVA,"N(mu=-3.838, sigma=0.762)",0.7623622461071718,-3.838229520210472
3337,Aries,SUSANTI RAHAYU,"N(mu=-3.886, sigma=0.583)",0.5833013496127945,-3.8857943829278008
361,Lisa,HARDIQUEST,"N(mu=-3.892, sigma=1.226)",1.2260771659815477,-3.8915020208691193
7435,Sviatlana,FEDARKEVICH,"N(mu=-3.911, sigma=1.247)",1.2465673652503324,-3.91068281484907
131,Valeriia,DERIABINA,"N(mu=-3.993, sigma=1.133)",1.1326017813551275,-3.9927718799172163
4071,Ayşe,NARMANLI,"N(mu=-4.044, sigma=0.848)",0.8482003806194385,-4.04398026804467
6386,Ashley,VEEVERS,"N(mu=-4.073, sigma=1.231)",1.2308051991213818,-4.073127475506172
2619,Senjam Debala,DEVI,"N(mu=-4.095, sigma=0.897)",0.8973975198279555,-4.0947432520934886
2212,Wing Sze,YUEN,"N(mu=-4.135, sigma=1.006)",1.0055705156460322,-4.134933771675188
2636,Dhanshri,LEKURWALA,"N(mu=-4.351, sigma=0.855)",0.8545884102689899,-4.350500258806889
1070,Hannah,SEALY-FISHER,"N(mu=-4.360, sigma=0.859)",0.8592455832434575,-4.359929091519313
2639,Prerna,DANGI,"N(mu=-4.547, sigma=1.261)",1.2609334298397754,-4.5472539490725
2232,Suet-Ying,LAM,"N(mu=-4.547, sigma=1.212)",1.2116297508183769,-4.547315601800255
4903,Katy,PIDDOCK,"N(mu=-4.564, sigma=2.005)",2.005207046478716,-4.564244666078277
6015,Olena,SHURUBOR,"N(mu=-4.635, sigma=1.333)",1.3328367971631467,-4.635312396530562
11650,Sofia Alejandra,HERRERA VEGA CENTENO,"N(mu=-4.671, sigma=0.849)",0.8491141789796323,-4.671014869114304
5995,Marie Line,MADELAINE,"N(mu=-4.858, sigma=2.239)",2.2388246295195793,-4.857981738026921
6161,Konul,HUSEYNOVA,"N(mu=-4.978, sigma=0.951)",0.9507090626478276,-4.978418995772542
2630,Mayuri,DESHMUKH,"N(mu=-5.063, sigma=1.297)",1.2965562476375774,-5.062907050475612
3858,Nea,HERFORTH BAEHR,"N(mu=-5.302, sigma=1.685)",1.6851545686824376,-5.301756363731946
7448,Ana,PATINO,"N(mu=-5.389, sigma=2.098)",2.0981525922917332,-5.389402631844177
6227,Kajsa,WIKLUND,"N(mu=-5.581, sigma=3.522)",3.5215758014520473,-5.581037507536269
4986,Wangmu,GESANG,"N(mu=-5.712, sigma=3.501)",3.5010078364061337,-5.712115487932058
5609,Marine,BARBIER,"N(mu=-5.750, sigma=3.469)",3.4691213283570237,-5.749860911050503
2067,Jiyeon,JEON,"N(mu=-6.055, sigma=2.170)",2.1698435632323383,-6.055256375168439
5405,Daila,OJEDA SANCHEZ,"N(mu=-6.093, sigma=3.386)",3.3862005656473264,-6.092676619221759
6149,Gunel,QULIYEVA,"N(mu=-6.110, sigma=3.398)",3.398457415085029,-6.110238317017669
4862,Alena,DEMKO,"N(mu=-6.119, sigma=3.413)",3.4132841105024423,-6.119255942036856
6173,Adriana Vanessa,FOURNIER CASTILLO,"N(mu=-6.402, sigma=3.330)",3.3303770038112153,-6.402258623340619
6077,Rianne,VAN DEN BERG,"N(mu=-6.417, sigma=3.326)",3.326186675562595,-6.416711898485874
4894,Marianne,VAN DER  STEEN,"N(mu=-6.519, sigma=3.329)",3.3285886084323413,-6.519406945247365
12623,Rosa,ARNOLD,"N(mu=-6.619, sigma=3.268)",3.2683008735787804,-6.618983999041564
4838,Selena,WONG,"N(mu=-6.721, sigma=3.281)",3.2813991563919793,-6.7207613823944365
2160,Ting-Chen,YAO,"N(mu=-6.732, sigma=3.250)",3.2496321473465124,-6.732391902866383
4700,Sarah,LAGOFFUN,"N(mu=-6.994, sigma=3.617)",3.6165610201616962,-6.994338329389784
