,firstname,lastname,current,sigma,mu
2301,Yuki,HADA,"N(mu=1.883, sigma=0.387)",0.38749216563653743,1.8831992462571578
11502,Jack,MACDOUGALL,"N(mu=1.862, sigma=0.456)",0.455859849427393,1.8624097628798062
6276,Philip,RATAJCZAK,"N(mu=1.825, sigma=1.006)",1.0061526082628687,1.8249044739355185
6053,Arjan,DE KOCK,"N(mu=1.824, sigma=1.004)",1.0037393815147242,1.824395734848744
2266,Ryuichi,MURAI,"N(mu=1.823, sigma=0.327)",0.32727160879011474,1.8232833952488157
4726,Matthias,MÜLLER,"N(mu=1.818, sigma=0.186)",0.18584038821800156,1.8177780475250223
67,Vadim,TIMONOV,"N(mu=1.816, sigma=0.220)",0.22000484792167507,1.8164773432298047
318,Simon,LORENZI,"N(mu=1.799, sigma=0.220)",0.21998283813298314,1.799216077127115
4505,Rafael,CABANE,"N(mu=1.796, sigma=1.018)",1.017603801127686,1.7962343413904105
4503,Julien,MERAL,"N(mu=1.796, sigma=0.198)",0.1981438821393144,1.7956866676744871
5140,Andrew,EARL,"N(mu=1.792, sigma=0.218)",0.21776641639898206,1.792257945044489
1559,Sean,MCCOLL,"N(mu=1.789, sigma=0.176)",0.17588394636521099,1.7894209941411579
1131,Gregor,VEZONIK,"N(mu=1.784, sigma=0.190)",0.19023771579210536,1.7835187292661994
5262,Peter,DOLEZAJ,"N(mu=1.778, sigma=0.589)",0.5892311491831733,1.7782362219633212
9191,Stéphan,JULIEN,"N(mu=1.766, sigma=0.197)",0.19666150142717337,1.7658209437595618
3353,Stefan,DANKER,"N(mu=1.760, sigma=0.202)",0.20156864216134315,1.76026953836651
1212,Lukas,ENNEMOSER,"N(mu=1.758, sigma=0.189)",0.18899121661056353,1.7577391715762924
3460,Gholamali,BARATZADEH,"N(mu=1.746, sigma=0.214)",0.21408307177047678,1.7458190406005423
5611,Nalle,HUKKATAIVAL,"N(mu=1.718, sigma=0.259)",0.2594322001432129,1.7180179794806523
772,Patxi,USOBIAGA LAKUNZA,"N(mu=1.717, sigma=1.007)",1.0074488060933962,1.7168989852883194
2587,Stephan,VOGT,"N(mu=1.708, sigma=0.998)",0.9984174526850436,1.7083242182076854
2331,Kaito,WATANABE,"N(mu=1.706, sigma=0.386)",0.3864289781543554,1.7063781191322156
4778,Lucas,PRETI,"N(mu=1.670, sigma=0.189)",0.18913794842994971,1.6702508375020346
