,firstname,lastname,current,sigma,mu
1127,Urban,PRIMOZIC,"N(mu=1.982, sigma=0.587)",0.5865475661087671,1.982062936200331
4780,Michele,CAMINATI,"N(mu=1.980, sigma=0.313)",0.3128713908346873,1.9796756484437763
1472,Sergii,TOPISHKO,"N(mu=1.964, sigma=0.199)",0.19907702060132304,1.9636625695409695
5889,Mark,HOBSON,"N(mu=1.961, sigma=1.014)",1.0142125349932398,1.9609824366157218
4168,Edvards,GRUZITIS,"N(mu=1.955, sigma=0.279)",0.27870510899991946,1.9550421069640753
5533,Pierre,DUROCHE,"N(mu=1.945, sigma=0.418)",0.41801863875049966,1.9450688798442624
12500,Ilja,AUERSPERG,"N(mu=1.944, sigma=0.712)",0.7123426690156358,1.9440765212197006
9191,Stéphan,JULIEN,"N(mu=1.939, sigma=0.211)",0.2110389803836357,1.9392699308574526
1819,Will,ANGLIN,"N(mu=1.935, sigma=1.008)",1.0078503704502868,1.935453690287568
646,Nathan,PHILLIPS,"N(mu=1.933, sigma=0.191)",0.19129158181294242,1.9325591490771155
4463,Christian,CORE,"N(mu=1.927, sigma=0.246)",0.2462103670822164,1.9268030803650047
4940,Tatsumi,NITTA,"N(mu=1.926, sigma=0.714)",0.7143243886505307,1.9255311403606776
1282,Andreas,HOFHERR,"N(mu=1.925, sigma=1.001)",1.0011717681846457,1.9250482266988576
1149,Zan,LOVENJAK SUDAR,"N(mu=1.924, sigma=0.234)",0.23443681013244114,1.9240707611666175
4786,Fabien,COMINA,"N(mu=1.921, sigma=0.345)",0.34506279000647694,1.9206702925998682
2289,Minoru,NAKANO,"N(mu=1.919, sigma=0.367)",0.3667813990875172,1.9186866072944522
631,Tyler,LANDMAN,"N(mu=1.918, sigma=0.227)",0.2272549604762056,1.9184973279358923
2004,Ellis,ERNSBERGER,"N(mu=1.913, sigma=0.508)",0.5083817780716385,1.9129078901623038
2378,Yuta,IMAIZUMI,"N(mu=1.908, sigma=0.584)",0.5842962587839897,1.907521366103149
11846,Junta,SEKIGUCHI,"N(mu=1.893, sigma=1.002)",1.0016003759959822,1.893461736996216
2833,Andrzej,MECHERZYNSKI-WIKTOR,"N(mu=1.884, sigma=0.207)",0.2074292910677118,1.883615471827514
3983,Alex,KHAZANOV,"N(mu=1.880, sigma=0.182)",0.18210719829498065,1.880466459096147
2798,Anthony,GULLSTEN,"N(mu=1.879, sigma=0.263)",0.2629921777373878,1.8790345280792342
4300,Baptiste,OMETZ,"N(mu=1.874, sigma=0.250)",0.24959981146526414,1.8741627520487147
3582,Tim,REUSER,"N(mu=1.863, sigma=0.363)",0.3625616880947135,1.8634523341938176
11832,Ao,YURIKUSA,"N(mu=1.862, sigma=0.507)",0.507421891790344,1.862482870937306
1047,Nicolò,SARTIRANA,"N(mu=1.860, sigma=1.003)",1.0033654671994119,1.8596788233062502
2280,Makoto,YAMAUCHI,"N(mu=1.855, sigma=0.251)",0.2508629087164224,1.854654116477678
1274,Stefan,SCHERZ,"N(mu=1.846, sigma=0.507)",0.507156736957527,1.8455531319995566
1746,Vasya,VOROTNIKOV,"N(mu=1.845, sigma=0.420)",0.41983705190630916,1.8452962697873379
1794,Shawn,RABOUTOU,"N(mu=1.843, sigma=0.455)",0.4550363143528952,1.8428856764334818
2480,Thomas,FARRELL,"N(mu=1.837, sigma=0.290)",0.2895762101039317,1.8370590662698045
6328,Kevin,ARC,"N(mu=1.834, sigma=0.713)",0.7127868756044484,1.8342968694367205
1361,Martin,STRANIK,"N(mu=1.827, sigma=0.185)",0.18460295687224965,1.8269206205359583
1709,Carlo,TRAVERSI,"N(mu=1.822, sigma=0.290)",0.28973545250262156,1.8221793103275057
857,Michael,PICCOLRUAZ,"N(mu=1.812, sigma=0.182)",0.1821371183722364,1.8115275206356625
3890,Mathias,CONRAD,"N(mu=1.805, sigma=0.203)",0.203464808334009,1.8048733810643198
648,William,BOSI,"N(mu=1.802, sigma=0.325)",0.32482121276003306,1.8024149305469117
1926,Zach,GALLA,"N(mu=1.795, sigma=0.240)",0.23971006927008656,1.7952692122283327
11390,Satone,YOSHIDA,"N(mu=1.776, sigma=0.456)",0.45622196988402736,1.7759838544412871
4818,Edward,FEEHALLY,"N(mu=1.773, sigma=0.232)",0.232373385865909,1.7731730970146782
4299,Sascha,LEHMANN,"N(mu=1.770, sigma=0.231)",0.23052759868400063,1.769815022130154
