,firstname,lastname,current,sigma,mu
306,Muriel,SARKANY,"N(mu=1.639, sigma=0.741)",0.7412146124735463,1.6389041084586269
455,Hélène,JANICOT,"N(mu=1.637, sigma=0.418)",0.41820054061380224,1.6367620826264186
4540,Elena,OVTCHINNIKOVA,"N(mu=1.625, sigma=0.732)",0.7315577927472012,1.6251076956257302
1894,Chauncey,CARROLL,"N(mu=1.625, sigma=1.011)",1.010629467611229,1.6246454917924216
466,Julia,CHANOURDIE,"N(mu=1.620, sigma=0.283)",0.2828379075427415,1.6201269423795195
1164,Urska,REPUSIC,"N(mu=1.617, sigma=0.326)",0.3256004012303487,1.616768430447023
460,Clementine,KAISER,"N(mu=1.613, sigma=0.239)",0.23892583888393795,1.6134908391626481
5426,Anja,HODANN,"N(mu=1.602, sigma=0.229)",0.22866065045981795,1.6024879290445764
11524,Aya,SUGAWARA,"N(mu=1.599, sigma=1.003)",1.0026340378066756,1.5992148158255686
1812,Ashima,SHIRAISHI,"N(mu=1.587, sigma=0.363)",0.36311134798274175,1.586806352599579
3059,Hannah,MIDTBOE,"N(mu=1.575, sigma=0.225)",0.2246718138884936,1.5749553147379045
928,Laura,ROGORA,"N(mu=1.575, sigma=0.231)",0.23133625419163983,1.5746848663194146
5401,Caroline,JANUEL,"N(mu=1.573, sigma=0.747)",0.7472988317226621,1.573427823898901
5608,Ludivine,HARMAND,"N(mu=1.573, sigma=0.270)",0.2698096386955533,1.5725510420891216
4721,Hyun-Jung,KIM,"N(mu=1.565, sigma=1.024)",1.0238881653822158,1.5651087669366854
4891,Rachel,NILWIK,"N(mu=1.563, sigma=0.726)",0.726492192274123,1.5630220201892953
4566,Ruth,PLANNELS,"N(mu=1.550, sigma=0.323)",0.32308949893515965,1.5496725173081762
5300,Aurelie,DIDILLION,"N(mu=1.549, sigma=1.018)",1.0181056941806128,1.54929248392132
6251,Shannon,RUSSELL,"N(mu=1.527, sigma=1.024)",1.024093278979657,1.5267562508968113
2343,Nanako,KURA,"N(mu=1.522, sigma=0.224)",0.2238821995465482,1.5218955790354214
